Year,State,State_ID,Crime_type,Total
1997,AGUASCALIENTES,1,Household Crimes,1330
1997,AGUASCALIENTES,1,Rape,48
1997,AGUASCALIENTES,1,Homicides,514
1997,AGUASCALIENTES,1,Injuries,1034
1997,AGUASCALIENTES,1,Other Crimes,1255
1997,AGUASCALIENTES,1,Kidnap,7
1997,AGUASCALIENTES,1,Common Thief,4922
1997,AGUASCALIENTES,1,Cattle Thief,0
1997,AGUASCALIENTES,1,Highway Thief,0
1997,AGUASCALIENTES,1,Banking Thief,0
1997,BAJA CALIFORNIA,2,Household Crimes,25807
1997,BAJA CALIFORNIA,2,Rape,325
1997,BAJA CALIFORNIA,2,Homicides,492
1997,BAJA CALIFORNIA,2,Injuries,14196
1997,BAJA CALIFORNIA,2,Other Crimes,47230
1997,BAJA CALIFORNIA,2,Kidnap,28
1997,BAJA CALIFORNIA,2,Common Thief,60300
1997,BAJA CALIFORNIA,2,Cattle Thief,0
1997,BAJA CALIFORNIA,2,Highway Thief,0
1997,BAJA CALIFORNIA,2,Banking Thief,5
1997,BAJA CALIFORNIA SUR,3,Household Crimes,2568
1997,BAJA CALIFORNIA SUR,3,Rape,49
1997,BAJA CALIFORNIA SUR,3,Homicides,132
1997,BAJA CALIFORNIA SUR,3,Injuries,1272
1997,BAJA CALIFORNIA SUR,3,Other Crimes,3671
1997,BAJA CALIFORNIA SUR,3,Kidnap,1
1997,BAJA CALIFORNIA SUR,3,Common Thief,5509
1997,BAJA CALIFORNIA SUR,3,Cattle Thief,0
1997,BAJA CALIFORNIA SUR,3,Highway Thief,0
1997,BAJA CALIFORNIA SUR,3,Banking Thief,9
1997,CAMPECHE,4,Household Crimes,1719
1997,CAMPECHE,4,Rape,135
1997,CAMPECHE,4,Homicides,263
1997,CAMPECHE,4,Injuries,2276
1997,CAMPECHE,4,Other Crimes,2735
1997,CAMPECHE,4,Kidnap,0
1997,CAMPECHE,4,Common Thief,2987
1997,CAMPECHE,4,Cattle Thief,0
1997,CAMPECHE,4,Highway Thief,0
1997,CAMPECHE,4,Banking Thief,4
1997,CHIAPAS,7,Household Crimes,4425
1997,CHIAPAS,7,Rape,422
1997,CHIAPAS,7,Homicides,1808
1997,CHIAPAS,7,Injuries,5340
1997,CHIAPAS,7,Other Crimes,13632
1997,CHIAPAS,7,Kidnap,44
1997,CHIAPAS,7,Common Thief,7513
1997,CHIAPAS,7,Cattle Thief,0
1997,CHIAPAS,7,Highway Thief,0
1997,CHIAPAS,7,Banking Thief,36
1997,CHIHUAHUA,8,Household Crimes,8954
1997,CHIHUAHUA,8,Rape,458
1997,CHIHUAHUA,8,Homicides,1718
1997,CHIHUAHUA,8,Injuries,17580
1997,CHIHUAHUA,8,Other Crimes,16184
1997,CHIHUAHUA,8,Kidnap,30
1997,CHIHUAHUA,8,Common Thief,29968
1997,CHIHUAHUA,8,Cattle Thief,0
1997,CHIHUAHUA,8,Highway Thief,0
1997,CHIHUAHUA,8,Banking Thief,28
1997,CIUDAD DE MEXICO,9,Household Crimes,0
