Year,State_ID,State,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Tasa de personas con sentencia condenatoria b/,Tasa de personas con sentencia condenatoria del fuero comÃºn d/,Tasa de personas con sentencia condenatoria del fuero federal c/
1994,01,Aguascalientes,2334,226,2503,91,101.33,107.24,40.27
1994,02,Baja California,7736,2040,6620,1585,0.84,85.57,77.7
1994,03,Baja California Sur,1181,213,783,214,0.72,66.3,100.47
1994,04,Campeche,1603,287,965,253,0.64,60.2,88.15
1994,05,Coahuila de Zaragoza,3288,732,1652,520,0.54,50.24,71.04
1994,06,Colima,1637,379,1139,251,0.69,69.58,66.23
1994,07,Chiapas,4403,851,3895,648,0.86,88.46,76.15
1994,08,Chihuahua,6635,1180,4342,832,0.66,65.44,70.51
1994,09,Ciudad de MÃ©xico,10932,1383,11556,1347,1.05,105.71,97.4
1994,10,Durango,1601,694,1088,627,0.75,67.96,90.35
1994,11,Guanajuato,5477,548,4489,633,0.85,81.96,115.51
1994,12,Guerrero,2901,436,1538,554,0.63,53.02,127.06
1994,13,Hidalgo,1376,335,857,282,0.67,62.28,84.18
1994,14,Jalisco,10384,1910,8410,1883,0.84,80.99,98.59
1994,15,MÃ©xico,8347,1289,9144,971,1.05,109.55,75.33
1994,16,MichoacÃ¡n de Ocampo,5240,1192,5401,1109,1.01,103.07,93.04
1994,17,Morelos,2180,594,1173,627,0.65,53.81,105.56
1994,18,Nayarit,2234,353,1831,425,0.87,81.96,120.4
1994,19,Nuevo LeÃ³n,5269,753,4656,790,0.9,88.37,104.91
1994,20,Oaxaca,4173,763,3975,624,0.93,95.26,81.78
1994,21,Puebla,4922,565,4611,498,0.93,93.68,88.14
1994,22,QuerÃ©taro,3344,191,2887,170,0.86,86.33,89.01
1994,23,Quintana Roo,1245,211,698,181,0.6,56.06,85.78
1994,24,San Luis PotosÃ­,4341,492,2532,422,0.61,58.33,85.77
1994,25,Sinaloa,3644,1887,4556,1804,1.15,125.03,95.6
1994,26,Sonora,ND,ND,ND,ND,,,
1994,27,Tabasco,6030,590,4460,378,0.73,73.96,64.07
1994,28,Tamaulipas,8326,1821,6457,1626,0.8,77.55,89.29
1994,29,Tlaxcala,824,128,848,144,1.04,102.91,112.5
1994,30,Veracruz de Ignacio de la Llave,9751,847,7901,745,0.82,81.03,87.96
1994,31,YucatÃ¡n,2412,223,1925,164,0.79,79.81,73.54
1994,32,Zacatecas,1849,270,1505,190,0.8,81.4,70.37
1994,b/,Porcentaje respecto al total de sentenciados. FÃ³rmula.,Tasa de personas con sentencia condenatoria= Personas con sentencia condenatoria / Total de sentenciados * 100 En donde Personas con sentencia condenatoria = Personas con sentencia condenatoria del fuero comÃºn + Personas con sentencia condenatoria del fuero federal,,,,,,
1994,c/,Porcentaje respecto al total de sentenciados del fuero federal. FÃ³rmula.,Tasa de personas con sentencia condenatoria del fuero federal= Personas con sentencia condenatoria del fuero federal / Total de sentenciados del fuero federal * 100,,,,,,
1994,d/,Porcentaje respecto al total de sentenciados del fuero comÃºn. FÃ³rmula.,Tasa de personas con sentencia condenatoria del fuero comÃºn= Personas con sentencia condenatoria del fuero comÃºn / Total de sentenciados del fuero comÃºn* 100,,,,,,
1995,01,Aguascalientes,2586.0,352.0,2415.0,355.0,94.28,93.39,100.85
1995,02,Baja California,5640.0,2407.0,4889.0,1738.0,82.35,86.68,72.21
1995,03,Baja California Sur,1220.0,202.0,941.0,151.0,76.79,77.13,74.75
1995,04,Campeche,1596.0,237.0,1064.0,162.0,66.88,66.67,68.35
1995,05,Coahuila de Zaragoza,3675.0,984.0,1896.0,699.0,55.7,51.59,71.04
1995,06,Colima,1826.0,445.0,1138.0,443.0,69.62,62.32,99.55
1995,07,Chiapas,4909.0,920.0,3492.0,708.0,72.05,71.13,76.96
1995,08,Chihuahua,6298.0,1331.0,5038.0,997.0,79.11,79.99,74.91
1995,09,Ciudad de MÃ©xico,13537.0,1933.0,10955.0,1496.0,80.48,80.93,77.39
1995,10,Durango,1580.0,697.0,1273.0,663.0,85.02,80.57,95.12
1995,11,Guanajuato,5411.0,1487.0,5358.0,1223.0,95.4,99.02,82.25
1995,12,Guerrero,2818.0,503.0,1690.0,444.0,64.26,59.97,88.27
1995,13,Hidalgo,1563.0,373.0,1088.0,322.0,72.83,69.61,86.33
1995,14,Jalisco,10178.0,2309.0,8839.0,1973.0,86.59,86.84,85.45
1995,15,MÃ©xico,9407.0,1416.0,7967.0,981.0,82.68,84.69,69.28
1995,16,MichoacÃ¡n de Ocampo,6007.0,1027.0,6076.0,1362.0,105.74,101.15,132.62
1995,17,Morelos,2942.0,943.0,1581.0,726.0,59.38,53.74,76.99
1995,18,Nayarit,2321.0,638.0,1679.0,381.0,69.62,72.34,59.72
1995,19,Nuevo LeÃ³n,6027.0,982.0,4489.0,892.0,76.77,74.48,90.84
1995,20,Oaxaca,5138.0,742.0,3539.0,768.0,73.25,68.88,103.5
1995,21,Puebla,4550.0,521.0,4168.0,505.0,92.15,91.6,96.93
1995,22,QuerÃ©taro,3904.0,231.0,3099.0,167.0,78.98,79.38,72.29
1995,23,Quintana Roo,1294.0,338.0,757.0,276.0,63.3,58.5,81.66
1995,24,San Luis PotosÃ­,4685.0,621.0,2465.0,571.0,57.22,52.61,91.95
1995,25,Sinaloa,3539.0,2283.0,3848.0,1986.0,100.21,108.73,86.99
1995,26,Sonora,5947.0,1728.0,5215.0,1274.0,84.55,87.69,73.73
1995,27,Tabasco,6356.0,595.0,4529.0,423.0,71.24,71.26,71.09
1995,28,Tamaulipas,8852.0,1920.0,7603.0,1554.0,85.01,85.89,80.94
1995,29,Tlaxcala,998.0,241.0,613.0,174.0,63.52,61.42,72.2
1995,30,Veracruz de Ignacio de la Llave,10196.0,1229.0,7697.0,904.0,75.28,75.49,73.56
1995,31,YucatÃ¡n,2432.0,268.0,2445.0,210.0,98.33,100.53,78.36
1995,32,Zacatecas,2182.0,389.0,1620.0,277.0,73.78,74.24,71.21
1996,01,Aguascalientes,2180.0,265.0,2305.0,303.0,106.67,105.734,114.34
1996,02,Baja California,5850.0,3151.0,6623.0,2089.0,96.79,113.214,66.296
