Year,State_ID,State,Total
1991,01,Aguascalientes,74.0
1991,02,Baja California,793.0
1991,03,Baja California Sur,120.0
1991,04,Campeche,25.0
1991,05,Coahuila de Zaragoza,295.0
1991,06,Colima,94.0
1991,07,Chiapas,20.0
1991,08,Chihuahua,170.0
1991,09,Ciudad de MÃ©xico,3111.0
1991,10,Durango,239.0
1991,11,Guanajuato,259.0
1991,12,Guerrero,539.0
1991,13,Hidalgo,220.0
1991,14,Jalisco,8684.0
1991,15,MÃ©xico,5631.0
1991,16,MichoacÃ¡n de Ocampo,171.0
1991,17,Morelos,1101.0
1991,18,Nayarit,403.0
1991,19,Nuevo LeÃ³n,7316.0
1991,20,Oaxaca,151.0
1991,21,Puebla,211.0
1991,22,QuerÃ©taro,286.0
1991,23,Quintana Roo,478.0
1991,24,San Luis PotosÃ­,76.0
1991,25,Sinaloa,506.0
1991,26,Sonora,524.0
1991,27,Tabasco,125.0
1991,28,Tamaulipas,932.0
1991,29,Tlaxcala,117.0
1991,30,Veracruz de Ignacio de la Llave,573.0
1991,31,YucatÃ¡n,97.0
1991,32,Zacatecas,18.0
1992,01,Aguascalientes,115.0
1992,02,Baja California,771.0
1992,03,Baja California Sur,145.0
1992,04,Campeche,16.0
1992,05,Coahuila de Zaragoza,323.0
1992,06,Colima,85.0
1992,07,Chiapas,20.0
1992,08,Chihuahua,140.0
1992,09,Ciudad de MÃ©xico,2559.0
1992,10,Durango,218.0
1992,11,Guanajuato,382.0
1992,12,Guerrero,791.0
1992,13,Hidalgo,194.0
1992,14,Jalisco,8679.0
1992,15,MÃ©xico,5765.0
1992,16,MichoacÃ¡n de Ocampo,192.0
1992,17,Morelos,1132.0
1992,18,Nayarit,365.0
1992,19,Nuevo LeÃ³n,6543.0
1992,20,Oaxaca,392.0
1992,21,Puebla,628.0
1992,22,QuerÃ©taro,246.0
1992,23,Quintana Roo,459.0
1992,24,San Luis PotosÃ­,74.0
1992,25,Sinaloa,434.0
1992,26,Sonora,415.0
1992,27,Tabasco,50.0
1992,28,Tamaulipas,920.0
1992,29,Tlaxcala,113.0
1992,30,Veracruz de Ignacio de la Llave,677.0
1992,31,YucatÃ¡n,107.0
1992,32,Zacatecas,4.0
1993,01,Aguascalientes,93.0
1993,02,Baja California,954.0
1993,03,Baja California Sur,185.0
1993,04,Campeche,20.0
1993,05,Coahuila de Zaragoza,184.0
1993,06,Colima,157.0
1993,07,Chiapas,22.0
1993,08,Chihuahua,141.0
1993,09,Ciudad de MÃ©xico,3659.0
1993,10,Durango,404.0
1993,11,Guanajuato,456.0
1993,12,Guerrero,867.0
1993,13,Hidalgo,268.0
1993,14,Jalisco,8282.0
1993,15,MÃ©xico,5785.0
1993,16,MichoacÃ¡n de Ocampo,229.0
1993,17,Morelos,996.0
1993,18,Nayarit,369.0
1993,19,Nuevo LeÃ³n,7393.0
1993,20,Oaxaca,243.0
1993,21,Puebla,650.0
1993,22,QuerÃ©taro,349.0
1993,23,Quintana Roo,497.0
1993,24,San Luis PotosÃ­,73.0
1993,25,Sinaloa,182.0
1993,26,Sonora,598.0
1993,27,Tabasco,107.0
1993,28,Tamaulipas,883.0
1993,29,Tlaxcala,119.0
1993,30,Veracruz de Ignacio de la Llave,817.0
1993,31,YucatÃ¡n,77.0
1993,32,Zacatecas,13.0
1994,01,Aguascalientes,180.0
1994,02,Baja California,1034.0
1994,03,Baja California Sur,219.0
1994,04,Campeche,20.0
1994,05,Coahuila de Zaragoza,228.0
1994,06,Colima,141.0
1994,07,Chiapas,20.0
1994,08,Chihuahua,105.0
1994,09,Ciudad de MÃ©xico,4272.0
1994,10,Durango,480.0
1994,11,Guanajuato,325.0
1994,12,Guerrero,1019.0
1994,13,Hidalgo,304.0
1994,14,Jalisco,7233.0
1994,15,MÃ©xico,4965.0
1994,16,MichoacÃ¡n de Ocampo,560.0
1994,17,Morelos,1052.0
1994,18,Nayarit,278.0
1994,19,Nuevo LeÃ³n,8885.0
1994,20,Oaxaca,202.0
1994,21,Puebla,644.0
1994,22,QuerÃ©taro,198.0
1994,23,Quintana Roo,440.0
1994,24,San Luis PotosÃ­,92.0
1994,25,Sinaloa,207.0
1994,26,Sonora,643.0
1994,27,Tabasco,143.0
1994,28,Tamaulipas,548.0
1994,29,Tlaxcala,94.0
1994,30,Veracruz de Ignacio de la Llave,1293.0
1994,31,YucatÃ¡n,51.0
1994,32,Zacatecas,5.0
1995,01,Aguascalientes,62.0
1995,02,Baja California,1035.0
1995,03,Baja California Sur,214.0
1995,04,Campeche,26.0
1995,05,Coahuila de Zaragoza,223.0
1995,06,Colima,85.0
1995,07,Chiapas,13.0
1995,08,Chihuahua,104.0
1995,09,Ciudad de MÃ©xico,4214.0
1995,10,Durango,492.0
1995,11,Guanajuato,372.0
1995,12,Guerrero,747.0
1995,13,Hidalgo,285.0
1995,14,Jalisco,6521.0
1995,15,MÃ©xico,5131.0
1995,16,MichoacÃ¡n de Ocampo,308.0
1995,17,Morelos,779.0
1995,18,Nayarit,266.0
1995,19,Nuevo LeÃ³n,8360.0
1995,20,Oaxaca,199.0
1995,21,Puebla,1052.0
1995,22,QuerÃ©taro,279.0
1995,23,Quintana Roo,367.0
1995,24,San Luis PotosÃ­,160.0
1995,25,Sinaloa,152.0
1995,26,Sonora,694.0
1995,27,Tabasco,141.0
1995,28,Tamaulipas,669.0
1995,29,Tlaxcala,88.0
1995,30,Veracruz de Ignacio de la Llave,1503.0
1995,31,YucatÃ¡n,132.0
1995,32,Zacatecas,19.0
1996,01,Aguascalientes,80.0
1996,02,Baja California,1230.0
1996,03,Baja California Sur,225.0
1996,04,Campeche,44.0
1996,05,Coahuila de Zaragoza,216.0
1996,06,Colima,61.0
1996,07,Chiapas,21.0
1996,08,Chihuahua,88.0
1996,09,Ciudad de MÃ©xico,5273.0
1996,10,Durango,505.0
1996,11,Guanajuato,289.0
1996,12,Guerrero,751.0
1996,13,Hidalgo,289.0
1996,14,Jalisco,2833.0
1996,15,MÃ©xico,5875.0
1996,16,MichoacÃ¡n de Ocampo,297.0
1996,17,Morelos,764.0
1996,18,Nayarit,223.0
1996,19,Nuevo LeÃ³n,8356.0
1996,20,Oaxaca,207.0
1996,21,Puebla,786.0
1996,22,QuerÃ©taro,546.0
1996,23,Quintana Roo,627.0
1996,24,San Luis PotosÃ­,149.0
1996,25,Sinaloa,171.0
1996,26,Sonora,652.0
1996,27,Tabasco,133.0
1996,28,Tamaulipas,675.0
1996,29,Tlaxcala,69.0
1996,30,Veracruz de Ignacio de la Llave,1446.0
1996,31,YucatÃ¡n,90.0
1996,32,Zacatecas,2.0
1997,01,Aguascalientes,90.0
1997,02,Baja California,1345.0
1997,03,Baja California Sur,229.0
1997,04,Campeche,38.0
1997,05,Coahuila de Zaragoza,185.0
1997,06,Colima,77.0
1997,07,Chiapas,54.0
1997,08,Chihuahua,72.0
1997,09,Ciudad de MÃ©xico,4056.0
1997,10,Durango,420.0
1997,11,Guanajuato,329.0
1997,12,Guerrero,748.0
1997,13,Hidalgo,447.0
1997,14,Jalisco,4363.0
