Year,State_ID,State,Capacidad instalada de las plantas potabilizadoras en operaciÃ³n (litros por segundo) a/,Capacidad total de almacenamiento de las presas (millones de metros cÃºbicos) b/,Capacidad Ãºtil de almacenamiento de las presas (millones de metros cÃºbicos) b/,CrÃ©ditos en programas de vivienda,Fuentes de abastecimiento de agua a/,InversiÃ³n ejercida en programas de vivienda (miles de pesos),Jardines vecinales a/,Localidades con el servicio de drenaje y alcantarillado a/,Localidades con el servicio de energÃ­a elÃ©ctrica a/,Localidades con red de distribuciÃ³n de agua entubada a/,Parques de juegos infantiles a/,Plantas potabilizadoras de agua en operaciÃ³n a/,Sistemas de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Tomas domiciliarias de agua entubada a/,Tomas instaladas de energÃ­a elÃ©ctrica a/,Volumen anual utilizado de agua de las presas (millones de metros cÃºbicos) c/,Volumen suministrado anual de agua potable (millones de metros cÃºbicos) b/
1994,01,Aguascalientes,ND,463,438,19536.0,395,367932.0,104,282,926,282,47,ND,241,282,172332,192172,168,ND
1994,02,Baja California,ND,184,174,9590.0,356,591993.0,ND,18,1104,29,ND,ND,ND,ND,413365,546863,49,ND
1994,03,Baja California Sur,ND,43,25,2253.0,171,79668.0,ND,10,730,139,7,ND,120,10,87114,91079,5,ND
1994,04,Campeche,ND,0,0,16420.0,405,180509.0,18,4,217,218,101,ND,218,4,101385,100641,0,ND
1994,05,Coahuila de Zaragoza,ND,8666,5949,20005.0,298,819414.0,ND,55,749,334,ND,ND,47,47,424051,518371,4087,ND
1994,06,Colima,0,0,0,7031.0,234,205343.0,118,ND,532,173,35,0,168,ND,122141,128649,108,0
1994,07,Chiapas,ND,34501,22902,25069.0,178,204226.0,ND,254,ND,111,ND,ND,111,254,228246,ND,40287,ND
1994,08,Chihuahua,ND,4528,742,19027.0,356,817435.0,ND,119,2993,822,ND,ND,783,119,580713,532692,2161,ND
1994,09,Ciudad de MÃ©xico,2143,2,ND,21433.0,740,2044371.0,ND,ND,ND,ND,ND,12,ND,ND,ND,2449560,ND,39
1994,10,Durango,ND,4510,4093,12573.0,491,372430.0,ND,1159,2013,1690,ND,ND,35,1159,265989,295984,1413,ND
1994,11,Guanajuato,ND,ND,ND,8468.0,1703,463757.0,227,586,4242,1510,271,ND,ND,ND,520053,865177,ND,ND
1994,12,Guerrero,ND,728,ND,5757.0,ND,295162.0,ND,48,1998,1155,74,ND,ND,48,208365,514761,483,ND
1994,13,Hidalgo,ND,ND,ND,36975.0,415,395687.0,ND,62,1037,495,ND,ND,198,62,195947,123571,ND,ND
1994,14,Jalisco,ND,ND,ND,10363.0,941,640259.0,ND,ND,ND,ND,ND,ND,ND,ND,920863,ND,ND,ND
1994,15,MÃ©xico,ND,1096,ND,30853.0,85,1116853.0,ND,ND,998,ND,ND,ND,ND,ND,1294419,2042737,ND,ND
1994,16,MichoacÃ¡n de Ocampo,ND,1585,1081,10037.0,286,354197.0,ND,ND,2528,ND,ND,ND,56,ND,425789,841135,1081,ND
1994,17,Morelos,ND,62,44,5484.0,163,178405.0,87,ND,343,51,37,ND,45,ND,158824,329196,ND,ND
1994,18,Nayarit,ND,6980,2604,4856.0,612,119305.0,161,52,766,ND,31,ND,24,52,120152,211563,ND,ND
1994,19,Nuevo LeÃ³n,ND,571,412,21672.0,89,968571.0,ND,ND,ND,ND,ND,ND,ND,ND,728480,ND,ND,ND
1994,20,Oaxaca,ND,12515,10996,16018.0,1698,218647.0,ND,ND,3235,1628,ND,ND,1628,132,326532,665275,8511,ND
1994,21,Puebla,ND,477,366,13015.0,1409,456894.0,65,88,ND,50,22,ND,41,88,368754,ND,265,ND
1994,22,QuerÃ©taro,ND,267,252,14340.0,208,300935.0,107,174,ND,356,30,ND,139,174,163018,ND,139,ND
1994,23,Quintana Roo,ND,0,0,4297.0,588,121121.0,176,5,ND,259,82,ND,10,5,111777,ND,0,ND
1994,24,San Luis PotosÃ­,ND,161,137,24117.0,207,640224.0,ND,ND,1446,ND,ND,ND,ND,ND,266045,419327,74,ND
1994,25,Sinaloa,ND,22447,12352,13268.0,1007,435454.0,128,139,2588,1214,63,ND,907,139,462996,512495,12118,ND
1994,26,Sonora,ND,9365,7396,11086.0,835,562557.0,ND,ND,6016,ND,ND,ND,ND,ND,ND,446561,9449,ND
1994,27,Tabasco,ND,0,0,28934.0,404,282715.0,ND,100,525,566,ND,ND,342,97,233783,343495,0,ND
1994,28,Tamaulipas,ND,7431,7224,26770.0,755,880289.0,123,63,ND,900,23,ND,731,60,528587,602248,2698,ND
1994,29,Tlaxcala,0,78,48,3607.0,368,93789.0,0,227,420,442,0,0,307,227,ND,176830,16,0
1994,30,Veracruz de Ignacio de la Llave,ND,869,560,11408.0,1598,610764.0,ND,155,ND,444,ND,ND,385,170,587061,ND,1170,ND
1994,31,YucatÃ¡n,ND,0,0,12780.0,546,366671.0,ND,ND,ND,387,ND,ND,392,ND,301478,383667,0,ND
1994,32,Zacatecas,ND,747,262,8553.0,827,140762.0,ND,335,4564,874,ND,ND,765,335,226476,346628,258,ND
1995,01,Aguascalientes,ND,458,436,13708.0,408,352475.0,121,285,935,285,82,ND,242,285,186116,207598,186,ND
1995,02,Baja California,ND,184,174,9250.0,355,757392.0,ND,11,1106,25,ND,ND,ND,ND,454423,581621,88,ND
1995,03,Baja California Sur,ND,41,25,1637.0,171,87619.0,ND,10,743,139,7,ND,120,10,90440,94626,5,ND
1995,04,Campeche,ND,0,0,5727.0,444,106399.0,12,4,263,225,93,ND,222,4,101048,107196,0,ND
1995,05,Coahuila de Zaragoza,ND,8668,5950,12591.0,181,573670.0,ND,ND,399,ND,ND,ND,17,17,376202,540173,4087,ND
1995,06,Colima,0,0,0,14176.0,265,189168.0,158,58,243,187,27,0,187,58,133449,136434,91,0
