Year,State_ID,State,Total
1980,1,Aguascalientes,55038.0
1980,2,Baja California,347138.0
1980,3,Baja California Sur,42227.0
1980,4,Campeche,21766.0
1980,5,Coahuila de Zaragoza,149242.0
1980,6,Colima,49073.0
1980,7,Chiapas,55401.0
1980,8,Chihuahua,272399.0
1980,9,Ciudad de MÃ©xico,1869808.0
1980,10,Durango,75859.0
1980,11,Guanajuato,155239.0
1980,12,Guerrero,59199.0
1980,13,Hidalgo,70592.0
1980,14,Jalisco,347483.0
1980,15,MÃ©xico,317938.0
1980,16,MichoacÃ¡n de Ocampo,131511.0
1980,17,Morelos,106712.0
1980,18,Nayarit,34249.0
1980,19,Nuevo LeÃ³n,264368.0
1980,20,Oaxaca,68997.0
1980,21,Puebla,196445.0
1980,22,QuerÃ©taro,42255.0
1980,23,Quintana Roo,16640.0
1980,24,San Luis PotosÃ­,80309.0
1980,25,Sinaloa,110677.0
1980,26,Sonora,176518.0
1980,27,Tabasco,34762.0
1980,28,Tamaulipas,245916.0
1980,29,Tlaxcala,23218.0
1980,30,Veracruz de Ignacio de la Llave,227171.0
1980,31,YucatÃ¡n,76404.0
1980,32,Zacatecas,33776.0
1981,1,Aguascalientes,56049.0
1981,2,Baja California,391422.0
1981,3,Baja California Sur,44460.0
1981,4,Campeche,26299.0
1981,5,Coahuila de Zaragoza,171897.0
1981,6,Colima,60262.0
1981,7,Chiapas,60997.0
1981,8,Chihuahua,307456.0
1981,9,Ciudad de MÃ©xico,1996743.0
1981,10,Durango,85331.0
1981,11,Guanajuato,166660.0
1981,12,Guerrero,67217.0
1981,13,Hidalgo,75007.0
1981,14,Jalisco,386231.0
1981,15,MÃ©xico,357998.0
1981,16,MichoacÃ¡n de Ocampo,156554.0
1981,17,Morelos,115884.0
1981,18,Nayarit,35158.0
1981,19,Nuevo LeÃ³n,307312.0
1981,20,Oaxaca,81560.0
1981,21,Puebla,228030.0
1981,22,QuerÃ©taro,46300.0
1981,23,Quintana Roo,21714.0
1981,24,San Luis PotosÃ­,89974.0
1981,25,Sinaloa,120393.0
1981,26,Sonora,182208.0
1981,27,Tabasco,44755.0
1981,28,Tamaulipas,266205.0
1981,29,Tlaxcala,25982.0
1981,30,Veracruz de Ignacio de la Llave,248547.0
1981,31,YucatÃ¡n,79229.0
1981,32,Zacatecas,36002.0
1982,1,Aguascalientes,59640.0
1982,2,Baja California,430583.0
1982,3,Baja California Sur,53984.0
1982,4,Campeche,35866.0
1982,5,Coahuila de Zaragoza,202036.0
1982,6,Colima,90599.0
1982,7,Chiapas,64014.0
1982,8,Chihuahua,347613.0
1982,9,Ciudad de MÃ©xico,1965771.0
1982,10,Durango,94013.0
1982,11,Guanajuato,180181.0
1982,12,Guerrero,75698.0
1982,13,Hidalgo,78771.0
1982,14,Jalisco,404645.0
1982,15,MÃ©xico,400980.0
1982,16,MichoacÃ¡n de Ocampo,167425.0
1982,17,Morelos,132284.0
1982,18,Nayarit,40993.0
1982,19,Nuevo LeÃ³n,299466.0
1982,20,Oaxaca,85794.0
1982,21,Puebla,239249.0
1982,22,QuerÃ©taro,49473.0
1982,23,Quintana Roo,22362.0
1982,24,San Luis PotosÃ­,96846.0
1982,25,Sinaloa,122477.0
1982,26,Sonora,190093.0
1982,27,Tabasco,47689.0
1982,28,Tamaulipas,288940.0
1982,29,Tlaxcala,29911.0
1982,30,Veracruz de Ignacio de la Llave,271323.0
1982,31,YucatÃ¡n,81378.0
1982,32,Zacatecas,45067.0
1983,1,Aguascalientes,59181.0
1983,2,Baja California,479624.0
1983,3,Baja California Sur,56620.0
1983,4,Campeche,39342.0
1983,5,Coahuila de Zaragoza,225615.0
1983,6,Colima,93368.0
1983,7,Chiapas,73248.0
1983,8,Chihuahua,404470.0
1983,9,Ciudad de MÃ©xico,1773140.0
1983,10,Durango,108873.0
1983,11,Guanajuato,192857.0
1983,12,Guerrero,81153.0
1983,13,Hidalgo,82316.0
1983,14,Jalisco,438343.0
1983,15,MÃ©xico,443777.0
1983,16,MichoacÃ¡n de Ocampo,190393.0
1983,17,Morelos,137356.0
1983,18,Nayarit,42059.0
1983,19,Nuevo LeÃ³n,306338.0
1983,20,Oaxaca,93108.0
1983,21,Puebla,275423.0
1983,22,QuerÃ©taro,52643.0
1983,23,Quintana Roo,24662.0
1983,24,San Luis PotosÃ­,101749.0
1983,25,Sinaloa,130907.0
1983,26,Sonora,198548.0
1983,27,Tabasco,54886.0
1983,28,Tamaulipas,307698.0
1983,29,Tlaxcala,34032.0
1983,30,Veracruz de Ignacio de la Llave,304836.0
1983,31,YucatÃ¡n,83293.0
1983,32,Zacatecas,51394.0
1984,1,Aguascalientes,60559.0
1984,2,Baja California,494007.0
1984,3,Baja California Sur,57892.0
1984,4,Campeche,44359.0
1984,5,Coahuila de Zaragoza,237710.0
1984,6,Colima,100961.0
1984,7,Chiapas,71224.0
1984,8,Chihuahua,438638.0
1984,9,Ciudad de MÃ©xico,1795279.0
1984,10,Durango,110658.0
1984,11,Guanajuato,208212.0
1984,12,Guerrero,85913.0
1984,13,Hidalgo,84555.0
1984,14,Jalisco,487847.0
1984,15,MÃ©xico,489786.0
1984,16,MichoacÃ¡n de Ocampo,200475.0
1984,17,Morelos,148388.0
1984,18,Nayarit,53265.0
1984,19,Nuevo LeÃ³n,347032.0
1984,20,Oaxaca,80897.0
1984,21,Puebla,284043.0
1984,22,QuerÃ©taro,54435.0
1984,23,Quintana Roo,25345.0
1984,24,San Luis PotosÃ­,106849.0
1984,25,Sinaloa,139617.0
1984,26,Sonora,202976.0
1984,27,Tabasco,60957.0
1984,28,Tamaulipas,327021.0
1984,29,Tlaxcala,39272.0
1984,30,Veracruz de Ignacio de la Llave,322101.0
1984,31,YucatÃ¡n,86616.0
1984,32,Zacatecas,58177.0
1985,1,Aguascalientes,63226.0
1985,2,Baja California,507540.0
1985,3,Baja California Sur,58711.0
1985,4,Campeche,46907.0
1985,5,Coahuila de Zaragoza,248788.0
1985,6,Colima,104826.0
1985,7,Chiapas,81441.0
1985,8,Chihuahua,462776.0
1985,9,Ciudad de MÃ©xico,1833239.0
1985,10,Durango,113623.0
1985,11,Guanajuato,219866.0
1985,12,Guerrero,89914.0
1985,13,Hidalgo,87726.0
1985,14,Jalisco,508494.0
1985,15,MÃ©xico,633362.0
1985,16,MichoacÃ¡n de Ocampo,211365.0
1985,17,Morelos,156316.0
1985,18,Nayarit,54431.0
1985,19,Nuevo LeÃ³n,366631.0
1985,20,Oaxaca,75575.0
1985,21,Puebla,295252.0
1985,22,QuerÃ©taro,57711.0
1985,23,Quintana Roo,27281.0
1985,24,San Luis PotosÃ­,112754.0
1985,25,Sinaloa,148198.0
1985,26,Sonora,221454.0
1985,27,Tabasco,66436.0
1985,28,Tamaulipas,342672.0
1985,29,Tlaxcala,40920.0
1985,30,Veracruz de Ignacio de la Llave,336378.0
1985,31,YucatÃ¡n,91475.0
1985,32,Zacatecas,60335.0
1986,1,Aguascalientes,70003.0
1986,2,Baja California,502496.0
1986,3,Baja California Sur,60395.0
1986,4,Campeche,48001.0
1986,5,Coahuila de Zaragoza,255874.0
1986,6,Colima,109314.0
1986,7,Chiapas,89032.0
1986,8,Chihuahua,470753.0
1986,9,Ciudad de MÃ©xico,1519411.0
1986,10,Durango,115853.0
