year,state_name,state_key,Crime type,Type of crime,Sub type of crime,January,February,March,April,May,June,July,August,September,October,November,December
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,ABUSO DE CONFIANZA,ABUSO DE CONFIANZA,17,17,17,17,17,17,32,0,38,28,22,31
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,DAﾄO EN PROPIEDAD AJENA,DAﾄO EN PROPIEDAD AJENA,45,45,45,45,45,45,108,40,117,38,73,133
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,EXTORSION,EXTORSION,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,FRAUDE,FRAUDE,9,9,9,9,9,9,52,0,55,51,42,44
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,DESPOJO,CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,DESPOJO,SIN VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,DESPOJO,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,DELITOS SEXUALES (VIOLACION),VIOLACION,VIOLACION,5,5,5,5,5,5,3,3,7,1,2,2
1997,AGUASCALIENTES,1,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,4,4,4,4,4,4,0,0,0,0,0,0
1997,AGUASCALIENTES,1,HOMICIDIOS,DOLOSOS,OTROS,54,54,54,54,54,54,1,2,2,0,0,2
1997,AGUASCALIENTES,1,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,HOMICIDIOS,CULPOSOS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,HOMICIDIOS,CULPOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,HOMICIDIOS,CULPOSOS,OTROS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,LESIONES,CULPOSAS,OTROS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,LESIONES,CULPOSAS,SIN DATOS,14,14,14,14,14,14,37,22,49,34,27,44
1997,AGUASCALIENTES,1,OTROS DELITOS,AMENAZAS,AMENAZAS,0,0,0,0,0,0,36,12,36,26,27,28
1997,AGUASCALIENTES,1,OTROS DELITOS,ESTUPRO,ESTUPRO,0,0,0,0,0,0,1,0,0,0,0,2
1997,AGUASCALIENTES,1,OTROS DELITOS,OTROS SEXUALES,OTROS SEXUALES,8,8,8,8,8,8,7,0,0,0,0,0
1997,AGUASCALIENTES,1,OTROS DELITOS,RESTO DE LOS DELITOS (OTROS),RESTO DE LOS DELITOS (OTROS),101,101,101,101,101,101,71,71,71,71,71,71
1997,AGUASCALIENTES,1,PRIV. DE LA LIBERTAD (SECUESTRO),SECUESTRO,SECUESTRO,1,1,1,1,1,1,1,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,A CASA HABITACION,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,A NEGOCIO,86,86,86,86,86,86,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,DE VEHICULOS,1,1,1,1,1,1,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,A TRANSPORTISTAS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,A TRANSEUNTES,8,8,8,8,8,8,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,OTROS,27,27,27,27,27,27,5,11,5,2,199,207
1997,AGUASCALIENTES,1,ROBO COMUN,CON VIOLENCIA,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,A CASA HABITACION,9,9,9,9,9,9,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,A NEGOCIO,126,126,126,126,126,126,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,DE VEHICULOS,31,31,31,31,31,31,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,A TRANSPORTISTAS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,A TRANSEUNTES,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,OTROS,250,250,250,250,250,250,416,338,163,239,48,61
1997,AGUASCALIENTES,1,ROBO COMUN,SIN VIOLENCIA,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO DE GANADO (ABIGEATO),ABIGEATO,ABIGEATO,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,A BANCOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,A CASA DE BOLSA,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,A CASA DE CAMBIO,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,A EMPRESA DE TRASLADO DE VALORES,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,OTROS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,A BANCOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,A CASA DE BOLSA,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,A CASA DE CAMBIO,0,0,0,0,0,0,0,0,0,0,0,0
