Year,State_ID,State,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de IntermediaciÃ³n Financiera Medidos Indirectamente,Total
2003,1.0,Aguascalientes,3190004.0,30713500.0,43624670.0,-647733.0,76880441.0
2003,2.0,Baja California,7911003.0,73201579.0,137151323.0,-1340510.0,216923395.0
2003,3.0,Baja California Sur,2338259.0,7522360.0,29163114.0,-720654.0,38303079.0
2003,4.0,Campeche,2083506.0,312160668.0,36720088.0,-136028.0,350828234.0
2003,5.0,Coahuila de Zaragoza,6879580.0,113354115.0,115375954.0,-1248172.0,234361478.0
2003,6.0,Colima,2962285.0,11499310.0,26110250.0,-266119.0,40305727.0
2003,7.0,Chiapas,13636712.0,41145526.0,87393512.0,-369595.0,141806156.0
2003,8.0,Chihuahua,13249366.0,88443613.0,138196554.0,-1999833.0,237889701.0
2003,9.0,Ciudad de MÃ©xico,1150256.0,202729545.0,1196763584.0,-75491807.0,1325151578.0
2003,10.0,Durango,12221579.0,34040958.0,48765856.0,-417611.0,94610781.0
2003,11.0,Guanajuato,13990551.0,111570133.0,165980455.0,-1494653.0,290046486.0
2003,12.0,Guerrero,7917140.0,19240319.0,89516554.0,-265211.0,116408801.0
2003,13.0,Hidalgo,5516642.0,41347319.0,55266605.0,-283912.0,101846652.0
2003,14.0,Jalisco,30106575.0,149583744.0,305389417.0,-4388509.0,480691228.0
2003,15.0,MÃ©xico,13553542.0,227372318.0,411320659.0,-6373473.0,645873047.0
2003,16.0,MichoacÃ¡n de Ocampo,18223754.0,37663772.0,123947287.0,-921607.0,178913205.0
2003,17.0,Morelos,3373361.0,30944463.0,56385920.0,-372496.0,90331248.0
2003,18.0,Nayarit,4178457.0,8105612.0,29515419.0,-163362.0,41636126.0
2003,19.0,Nuevo LeÃ³n,4988701.0,181954791.0,345983746.0,-11694765.0,521232473.0
2003,20.0,Oaxaca,10067946.0,26058311.0,77756286.0,-147198.0,113735344.0
2003,21.0,Puebla,12117756.0,84560288.0,150123340.0,-1858246.0,244943139.0
2003,22.0,QuerÃ©taro,4259951.0,44802396.0,69832286.0,-744170.0,118150464.0
2003,23.0,Quintana Roo,966502.0,14421264.0,83883008.0,-786601.0,98484173.0
2003,24.0,San Luis PotosÃ­,6821394.0,46009748.0,76510273.0,-912788.0,128428627.0
2003,25.0,Sinaloa,17424421.0,25993011.0,103750500.0,-1149348.0,146018584.0
2003,26.0,Sonora,15652723.0,50292642.0,105517812.0,-1935871.0,169527306.0
2003,27.0,Tabasco,4225394.0,97379035.0,69322477.0,-545237.0,170381670.0
2003,28.0,Tamaulipas,9438121.0,94417295.0,141433689.0,-942419.0,244346686.0
2003,29.0,Tlaxcala,1953852.0,15209007.0,24875824.0,-101192.0,41937491.0
2003,30.0,Veracruz de Ignacio de la Llave,23620385.0,94085762.0,197281500.0,-1581432.0,313406216.0
2003,31.0,YucatÃ¡n,4237381.0,26465153.0,66072761.0,-818798.0,95956498.0
2003,32.0,Zacatecas,7494372.0,11849366.0,34341399.0,-267905.0,53417232.0
2004,1.0,Aguascalientes,3209611.0,31165205.0,45351310.0,-569141.0,79156985.0
2004,2.0,Baja California,8303166.0,77699454.0,143939810.0,-1414721.0,228527708.0
2004,3.0,Baja California Sur,2202152.0,8120260.0,31747168.0,-802008.0,41267573.0
2004,4.0,Campeche,2179460.0,309910252.0,38640277.0,-175000.0,350554989.0
2004,5.0,Coahuila de Zaragoza,7303976.0,118333731.0,120430583.0,-1305414.0,244762877.0
2004,6.0,Colima,2987620.0,10336495.0,27472787.0,-498449.0,40298453.0
2004,7.0,Chiapas,14321736.0,36429169.0,90532678.0,-408135.0,140875448.0
2004,8.0,Chihuahua,14340785.0,91280708.0,146002725.0,-1288468.0,250335751.0
2004,9.0,Ciudad de MÃ©xico,1023459.0,209399748.0,1247741678.0,-89878005.0,1368286880.0
2004,10.0,Durango,12664942.0,35840462.0,51562193.0,-431417.0,99636181.0
2004,11.0,Guanajuato,14251977.0,112334011.0,173315631.0,-1630684.0,298270935.0
2004,12.0,Guerrero,7618752.0,18979699.0,95056096.0,-281103.0,121373444.0
2004,13.0,Hidalgo,5529435.0,45843736.0,57026439.0,-304116.0,108095494.0
2004,14.0,Jalisco,33643924.0,151242999.0,317279873.0,-4274532.0,497892265.0
2004,15.0,MÃ©xico,12860432.0,237868896.0,426465989.0,-5034591.0,672160727.0
2004,16.0,MichoacÃ¡n de Ocampo,17815257.0,41429926.0,127213371.0,-970945.0,185487609.0
